thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
46,0,46,up,1,0.6179884998127818,None,0,46,0,46,0,73.83259720006026,,73.81724469992332,73.83259720006026,74.81732179992832,74.83411110006273,75.45036519994028,up,1,0.6179884998127818,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
47,0,47,up,0,0.6105066000018269,None,4,47,0,47,0,75.46690070000477,,75.45066779991612,75.46690070000477,76.45032679988071,76.46779819997028,77.06783529999666,up,0,0.6105066000018269,None,4,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
48,0,48,down,0,0.609340799972415,None,0,48,0,48,0,77.08274360001087,,77.06812720000744,77.08274360001087,78.08453799993731,78.08453799993731,78.69988030008972,down,0,0.609340799972415,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
49,0,49,up,1,0.5282664999831468,None,0,49,0,49,0,78.71580119989812,,78.70025700004771,78.71580119989812,79.70095860003494,79.71584980003536,80.23412010003813,up,1,0.5282664999831468,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
50,0,50,down,1,0.5265822999645025,None,-4,50,0,50,0,80.24970069993287,,80.23445450002328,80.24970069993287,81.234466599999,81.24983049998991,81.76759719988331,down,1,0.5265822999645025,None,-4,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
51,0,51,down,1,0.6256635000463575,None,-2,51,0,51,0,81.78234519995749,,81.76790630002506,81.78234519995749,82.78412050008774,82.78412050008774,83.41676030005328,down,1,0.6256635000463575,None,-2,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
52,0,52,down,1,0.6670644998084754,None,3,52,0,52,0,83.43315490009263,,83.41712370002642,83.43315490009263,84.4175861000549,84.43464770005085,85.10071079991758,down,1,0.6670644998084754,None,3,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
53,0,53,up,0,0.5548847001045942,None,1,53,0,53,0,85.11642289999872,,85.10099010006525,85.11642289999872,86.10058730002493,86.117588999914,86.66699089994654,up,0,0.5548847001045942,None,1,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
54,0,54,up,1,0.4645897001028061,None,0,54,0,54,0,86.68437039991841,,86.66728419996798,86.68437039991841,87.66713880002499,87.68410700000823,88.13366979989223,up,1,0.4645897001028061,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
55,0,55,up,1,0.45706110005266964,None,0,55,0,55,0,88.15092150005512,,88.13390589994378,88.15092150005512,89.13445080001839,89.15171779994853,89.5999187999405,up,1,0.45706110005266964,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
