thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
101,0,101,[np.float64(0.041666666666666664)],[np.float64(-0.002777777777777778)],[1],[0],[0],[2.7315827000002173],[None],101,0,101,0,281.433983,,10,281.4237067,281.433983,281.433983,0.0193787,284.1553531,[np.float64(0.041666666666666664)],[np.float64(-0.002777777777777778)],[1],[0],[0],[2.7315827000002173],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
102,0,102,[np.float64(0.19166666666666668)],[np.float64(-0.3416666666666667)],[1],[0],[0],[2.798750399999335],[None],102,0,102,0,284.1852219,,10,284.1742835,284.1852219,284.1852219,0.0188133,286.9730997,[np.float64(0.19166666666666668)],[np.float64(-0.3416666666666667)],[1],[0],[0],[2.798750399999335],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
103,0,103,[np.float64(-0.4638888888888889)],[np.float64(0.462037037037037)],[1],[0],[0],[3.2226544999994076],['target'],103,0,103,0,286.9913316,,5,286.9832811,286.9913316,286.9913316,0.0100501,290.2060949,[np.float64(-0.4638888888888889)],[np.float64(0.462037037037037)],[1],[0],[0],[3.2226544999994076],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
104,0,104,[np.float64(-0.009259259259259259)],[np.float64(0.06759259259259259)],[1],[0],[0],[2.1057701999998244],[None],104,0,104,0,290.2233373,,5,290.2160453,290.2233373,290.2233373,0.009825,292.3218022,[np.float64(-0.009259259259259259)],[np.float64(0.06759259259259259)],[1],[0],[0],[2.1057701999998244],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
105,0,105,[np.float64(-0.47962962962962963)],[np.float64(-0.032407407407407406)],[1],[0],[0],[2.024003900000025],['target'],105,0,105,0,292.339771,,5,292.3317503,292.339771,292.339771,0.0098614,294.3558155,[np.float64(-0.47962962962962963)],[np.float64(-0.032407407407407406)],[1],[0],[0],[2.024003900000025],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
106,0,106,[np.float64(0.287962962962963)],[np.float64(-0.15185185185185185)],[1],[0],[0],[4.348883399999977],['target'],106,0,106,0,294.3872609,,10,294.3758694,294.3872609,294.3872609,0.0199588,298.7248181,[np.float64(0.287962962962963)],[np.float64(-0.15185185185185185)],[1],[0],[0],[4.348883399999977],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
107,0,107,[np.float64(0.425)],[np.float64(-0.07222222222222222)],[1],[0],[0],[2.406797600000573],['target'],107,0,107,0,298.7427642,,5,298.7344225,298.7427642,298.7427642,0.0094499,301.1412762,[np.float64(0.425)],[np.float64(-0.07222222222222222)],[1],[0],[0],[2.406797600000573],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
108,0,108,[np.float64(-0.15833333333333333)],[np.float64(0.40925925925925927)],[1],[0],[0],[5.416195300000254],['target'],108,0,108,0,301.1698733,,10,301.1585377,301.1698733,301.1698733,0.017175,306.5747893,[np.float64(-0.15833333333333333)],[np.float64(0.40925925925925927)],[1],[0],[0],[5.416195300000254],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
109,0,109,[np.float64(0.2074074074074074)],[np.float64(-0.032407407407407406)],[1],[0],[0],[2.790850400000636],['target'],109,0,109,0,306.591377,,5,306.5835762,306.591377,306.591377,0.0086794,309.3744918,[np.float64(0.2074074074074074)],[np.float64(-0.032407407407407406)],[1],[0],[0],[2.790850400000636],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
110,0,110,[np.float64(-0.2935185185185185)],[np.float64(-0.37777777777777777)],[1],[0],[0],[4.373968899999454],['target'],110,0,110,0,309.3952434,,5,309.3844835,309.3952434,309.3952434,0.0098963,313.7585435,[np.float64(-0.2935185185185185)],[np.float64(-0.37777777777777777)],[1],[0],[0],[4.373968899999454],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
