cue_arrow,target_x,condition,corr_Ans,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,start_key.started,welcome.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,fixation.stopped,cue_text.started,cue_text.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text.started,text.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
←,0.5,invalid,right,262,2,26,right,1,1.1835035999974934,None,26,2,262,9,474.34639629999583,,,,,,,,,474.33002949999354,474.34639629999583,474.84571609999693,474.84571609999693,475.1298852000036,475.42996930000663,475.42996930000663,476.6292220000032,right,1,1.1835035999974934,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,263,3,26,left,1,0.3129754999972647,None,26,3,263,5,476.6459720999992,,,,,,,,,476.62979999999516,476.6459720999992,477.13012040000467,477.13012040000467,477.43026100000134,477.7302758000005,477.7302758000005,478.0474341999943,left,1,0.3129754999972647,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,264,4,26,left,1,0.2787793000024976,None,26,4,264,1,478.0618676000013,,,,,,,,,478.04796989999886,478.0618676000013,478.5628854999959,478.5628854999959,478.84608230000595,479.16330139999627,479.16330139999627,479.44649980000395,left,1,0.2787793000024976,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,265,5,26,right,1,0.41797670000232756,None,26,5,265,2,479.46183879999444,,,,,,,,,479.44886839999526,479.46183879999444,479.9467427000054,479.9467427000054,480.2464867999952,480.54531139999744,480.54531139999744,480.97980559999996,right,1,0.41797670000232756,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,266,6,26,right,1,0.33766340000147466,None,26,6,266,7,480.99567849999585,,,,,,,,,480.9803785999975,480.99567849999585,481.48049469999387,481.48049469999387,481.78010010000435,482.0785525999963,482.0785525999963,482.42974530000356,right,1,0.33766340000147466,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,267,7,26,left,1,0.4330056000035256,None,26,7,267,4,482.4463900999981,,,,,,,,,482.4319037999958,482.4463900999981,482.930013300007,482.930013300007,483.23008619999746,483.5302933000057,483.5302933000057,483.9798757999961,left,1,0.4330056000035256,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,268,8,26,right,1,0.3360874999925727,None,26,8,268,0,483.99684479999996,,,,,,,,,483.9821634999971,483.99684479999996,484.4791402999981,484.4791402999981,484.7797828000039,485.07951290000346,485.07951290000346,485.4296389999945,right,1,0.3360874999925727,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,269,9,26,right,1,1.1607605000026524,None,26,9,269,3,485.446511999995,,,,,,,,,485.430119800003,485.446511999995,485.9299702999997,485.9299702999997,486.23021049999807,486.5298870999977,486.5298870999977,487.69558600000164,right,1,1.1607605000026524,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,270,0,27,right,1,0.35880400000314694,None,27,0,270,3,487.71202079999784,,,,,,,,,487.6962793999992,487.71202079999784,488.1972131999937,488.1972131999937,488.49655870000424,488.7968136999989,488.7968136999989,489.16349180000543,right,1,0.35880400000314694,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,271,1,27,right,1,0.43140119999588933,None,27,1,271,2,489.18019549999735,,,,,,,,,489.16397799999686,489.18019549999735,489.66396999999415,489.66396999999415,489.9635522000026,490.2632500000036,490.2632500000036,490.69623370000045,right,1,0.43140119999588933,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,272,2,27,right,1,0.31777720000536647,None,27,2,272,0,490.712520400004,,,,,,,,,490.6967735000071,490.712520400004,491.1968454000016,491.1968454000016,491.4966119000019,491.79692170000635,491.79692170000635,492.13110280000546,right,1,0.31777720000536647,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,273,3,27,left,1,0.758237400004873,None,27,3,273,5,492.1460422999953,,,,,,,,,492.1337838000036,492.1460422999953,492.64657110000553,492.64657110000553,492.93037669999467,493.2302461000072,493.2302461000072,493.99822290000156,left,1,0.758237400004873,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,-0.5,invalid,left,274,4,27,left,1,1.5881563000002643,None,27,4,274,8,494.01147719999426,,,,,,,,,494.00071520000347,494.01147719999426,494.5122505000036,494.5122505000036,494.8125405000028,495.11348670000734,495.11348670000734,496.71339360000275,left,1,1.5881563000002643,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
